colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,reg_lambda,subsample,val_rmse,val_r2,best_iteration,best_n_estimators,n_leaves,n_splits,n_nodes,bin_id,bin_mid,bin_median,bin_min,bin_count,bin_left,bin_right
0.75,0.1,0.1,2,3,5,0.8,5.578629670152807,0.973600412570892,830,831,3504,2623,6127,3,3154.0,5.783886118106104,3.663666929472131,169,2773.6,3651.3999999999996
1.0,0.1,0.03,3,5,5,1.0,5.579698118789206,0.973590299225502,958,959,7531,6531,14062,8,7424.0,4.700652294768277,3.536485358593364,207,7162.599999999999,8040.4
0.75,0.1,0.1,3,3,20,1.0,5.5800209781035175,0.9735872428362888,465,466,3064,2548,5612,3,3154.0,5.783886118106104,3.663666929472131,169,2773.6,3651.3999999999996
0.75,0.3,0.1,3,5,10,1.0,5.580531619974012,0.9735824084183136,219,220,1663,1393,3056,1,1602.0,5.804113719417572,4.31465302959867,156,1018.0,1895.8
0.75,1.0,0.05,3,8,1,1.0,5.581460708252679,0.9735736112930512,348,349,2136,1737,3873,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
0.75,1.0,0.1,2,8,5,0.8,5.584546436835818,0.973544383387182,830,831,3480,2599,6079,3,3154.0,5.783886118106104,3.663666929472131,169,2773.6,3651.3999999999996
0.75,0.0,0.1,2,8,1,1.0,5.589110215428391,0.9735011258326306,994,995,3989,2989,6978,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
0.75,0.0,0.1,2,3,1,1.0,5.59159269326395,0.973477580948232,702,703,2974,2221,5195,3,3154.0,5.783886118106104,3.663666929472131,169,2773.6,3651.3999999999996
1.0,0.1,0.03,3,3,1,1.0,5.5996489247996255,0.9734011001720664,999,1000,7269,6269,13538,8,7424.0,4.700652294768277,3.536485358593364,207,7162.599999999999,8040.4
1.0,0.3,0.05,3,8,10,1.0,5.600071535326772,0.9733970851349054,542,543,3996,3403,7399,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
1.0,0.3,0.1,2,3,5,1.0,5.600170844095386,0.9733961416019076,473,474,1958,1434,3392,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
1.0,0.3,0.03,3,5,10,1.0,5.600748344674762,0.973390654435092,963,964,7038,6038,13076,7,6931.0,4.805455757325583,3.3898166653023294,117,6284.799999999999,7162.599999999999
0.75,0.0,0.1,2,3,5,0.8,5.610124589883528,0.9733014861402028,761,762,3233,2421,5654,3,3154.0,5.783886118106104,3.663666929472131,169,2773.6,3651.3999999999996
1.0,0.3,0.03,3,3,5,1.0,5.614384209721544,0.973260927791861,897,898,5750,4802,10552,6,5847.0,4.525032584484768,3.6442172777135577,111,5407.0,6284.799999999999
0.75,0.3,0.03,3,8,5,1.0,5.616025720870372,0.9732452897806192,714,715,5266,4501,9767,5,4945.5,4.541048571460504,3.4718231235719323,98,4529.2,5407.0
1.0,0.1,0.03,3,8,1,1.0,5.618970750284016,0.973217222221104,757,758,5810,5002,10812,6,5847.0,4.525032584484768,3.6442172777135577,111,5407.0,6284.799999999999
0.75,0.0,0.03,3,3,10,1.0,5.6206073013489775,0.9732016187348106,999,1000,7061,6061,13122,7,6931.0,4.805455757325583,3.3898166653023294,117,6284.799999999999,7162.599999999999
0.75,0.1,0.05,2,8,5,1.0,5.620878526785737,0.9731990323317252,999,1000,3978,2978,6956,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
1.0,0.1,0.1,2,3,20,1.0,5.622975373310071,0.9731790326118356,708,709,3034,2275,5309,3,3154.0,5.783886118106104,3.663666929472131,169,2773.6,3651.3999999999996
1.0,0.0,0.1,2,3,20,1.0,5.622975373310071,0.9731790326118356,708,709,3034,2275,5309,3,3154.0,5.783886118106104,3.663666929472131,169,2773.6,3651.3999999999996
0.75,0.3,0.1,2,8,5,0.8,5.623656709870107,0.9731725324187592,761,762,3222,2410,5632,3,3154.0,5.783886118106104,3.663666929472131,169,2773.6,3651.3999999999996
0.75,0.3,0.05,3,3,5,1.0,5.623763274866446,0.9731715156795736,458,459,3386,2877,6263,3,3154.0,5.783886118106104,3.663666929472131,169,2773.6,3651.3999999999996
1.0,0.3,0.1,2,8,1,1.0,5.623953109893308,0.9731697044112996,488,489,2012,1473,3485,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
0.75,0.0,0.1,2,5,10,0.8,5.625223361550057,0.9731575830171032,828,829,3486,2607,6093,3,3154.0,5.783886118106104,3.663666929472131,169,2773.6,3651.3999999999996
1.0,0.3,0.1,2,5,5,1.0,5.625896830078664,0.9731511553238168,484,485,2014,1479,3493,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
1.0,0.3,0.03,3,8,10,1.0,5.6275159345734735,0.9731356991781436,934,935,6740,5755,12495,7,6931.0,4.805455757325583,3.3898166653023294,117,6284.799999999999,7162.599999999999
1.0,0.0,0.1,2,8,5,1.0,5.627701320663935,0.9731339291788076,715,716,3064,2298,5362,3,3154.0,5.783886118106104,3.663666929472131,169,2773.6,3651.3999999999996
1.0,0.1,0.1,2,8,5,1.0,5.628171673038995,0.9731294381628252,671,672,2831,2109,4940,3,3154.0,5.783886118106104,3.663666929472131,169,2773.6,3651.3999999999996
0.75,0.0,0.05,2,8,5,1.0,5.632187960769534,0.9730910745804228,999,1000,3977,2977,6954,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
1.0,0.1,0.05,3,8,5,1.0,5.6331099139861385,0.9730822642207412,548,549,4113,3514,7627,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
1.0,0.3,0.1,2,3,1,1.0,5.637396009650675,0.9730412865426028,471,472,1950,1428,3378,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
0.75,0.0,0.05,2,5,1,1.0,5.640673803982857,0.9730099278062552,996,997,3997,2997,6994,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
1.0,0.0,0.03,3,3,1,1.0,5.640786768465289,0.9730088467474411,999,1000,7283,6283,13566,8,7424.0,4.700652294768277,3.536485358593364,207,7162.599999999999,8040.4
0.75,0.3,0.03,3,3,1,1.0,5.6437617458702345,0.9729803687179938,685,686,4628,3892,8520,5,4945.5,4.541048571460504,3.4718231235719323,98,4529.2,5407.0
0.75,1.0,0.1,2,3,1,0.8,5.643883202194133,0.9729792057559312,439,440,1952,1462,3414,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
0.75,0.3,0.1,2,3,1,0.8,5.6440192971364365,0.9729779025972228,439,440,1955,1465,3420,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
1.0,0.1,0.05,2,8,5,1.0,5.645142662777439,0.9729671447613202,980,981,4000,3000,7000,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
1.0,0.3,0.05,2,8,5,1.0,5.645142662777439,0.9729671447613202,980,981,4000,3000,7000,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
1.0,0.0,0.05,2,8,5,1.0,5.645142662777439,0.9729671447613202,980,981,4000,3000,7000,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
1.0,0.3,0.05,3,3,5,1.0,5.647663112828039,0.9729430000493386,495,496,3418,2872,6290,3,3154.0,5.783886118106104,3.663666929472131,169,2773.6,3651.3999999999996
0.75,0.3,0.03,3,5,10,1.0,5.648115379853572,0.972938666405984,928,929,5947,4968,10915,6,5847.0,4.525032584484768,3.6442172777135577,111,5407.0,6284.799999999999
0.75,1.0,0.1,2,5,1,0.8,5.65395596392684,0.9728826704840436,424,425,1892,1417,3309,1,1602.0,5.804113719417572,4.31465302959867,156,1018.0,1895.8
0.75,0.1,0.1,2,5,1,0.8,5.653961971467346,0.9728826128576512,424,425,1897,1422,3319,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
0.75,0.3,0.1,2,5,1,0.8,5.653961971467346,0.9728826128576512,424,425,1897,1422,3319,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
0.75,0.0,0.1,2,5,1,0.8,5.653961971467346,0.9728826128576512,424,425,1897,1422,3319,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
1.0,0.1,0.05,3,5,5,1.0,5.6540923894983015,0.9728813618280044,539,540,4139,3549,7688,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
1.0,1.0,0.1,2,3,10,1.0,5.660689529603114,0.97281804138125,389,390,1610,1170,2780,1,1602.0,5.804113719417572,4.31465302959867,156,1018.0,1895.8
1.0,0.1,0.05,2,3,10,1.0,5.663883779967053,0.9727873559044654,995,996,4000,3000,7000,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
1.0,0.3,0.05,2,3,10,1.0,5.663883779967053,0.9727873559044654,995,996,4000,3000,7000,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
1.0,0.0,0.05,2,3,10,1.0,5.663883779967053,0.9727873559044654,995,996,4000,3000,7000,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
0.75,0.1,0.1,2,3,1,1.0,5.66691302195527,0.972758239583754,616,617,2532,1865,4397,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
0.75,0.3,0.05,3,8,5,1.0,5.670682128208656,0.9727219901354952,423,424,3178,2704,5882,3,3154.0,5.783886118106104,3.663666929472131,169,2773.6,3651.3999999999996
0.75,1.0,0.1,3,3,10,1.0,5.677288810513438,0.9726583920981317,186,187,1332,1095,2427,1,1602.0,5.804113719417572,4.31465302959867,156,1018.0,1895.8
1.0,1.0,0.1,3,3,10,1.0,5.680186222930871,0.9726304773198317,252,253,1505,1202,2707,1,1602.0,5.804113719417572,4.31465302959867,156,1018.0,1895.8
1.0,0.3,0.05,3,3,1,1.0,5.682220312754238,0.972610871612016,348,349,2726,2327,5053,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
1.0,1.0,0.1,3,3,20,1.0,5.682821770401424,0.9726050730784644,332,333,2005,1622,3627,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
1.0,0.3,0.1,3,3,5,1.0,5.686670889831297,0.972567949951786,242,243,1839,1546,3385,1,1602.0,5.804113719417572,4.31465302959867,156,1018.0,1895.8
0.75,0.0,0.1,2,3,10,1.0,5.689035642173782,0.9725451304520544,945,946,3868,2872,6740,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
1.0,0.3,0.05,2,5,10,1.0,5.690346429360565,0.9725324774685448,989,990,4000,3000,7000,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
1.0,0.1,0.05,2,5,10,1.0,5.690346429360565,0.9725324774685448,989,990,4000,3000,7000,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
1.0,0.0,0.05,2,5,10,1.0,5.690346429360565,0.9725324774685448,989,990,4000,3000,7000,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
0.75,1.0,0.05,3,5,1,1.0,5.690382365711249,0.972532130535137,334,335,2110,1725,3835,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
0.75,0.0,0.1,2,3,10,0.8,5.695527805213909,0.9724824332912044,824,825,3477,2602,6079,3,3154.0,5.783886118106104,3.663666929472131,169,2773.6,3651.3999999999996
0.75,0.1,0.1,2,5,10,0.8,5.697589096312725,0.9724625117030924,718,719,3045,2276,5321,3,3154.0,5.783886118106104,3.663666929472131,169,2773.6,3651.3999999999996
0.75,0.1,0.05,2,3,1,1.0,5.69910965549358,0.9724478114615196,984,985,3833,2833,6666,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
0.75,0.1,0.1,2,8,5,0.8,5.6992892183664505,0.9724460752506496,621,622,2670,1998,4668,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
0.75,0.0,0.1,2,8,5,0.8,5.6992892183664505,0.9724460752506496,621,622,2670,1998,4668,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
0.75,0.1,0.05,2,5,1,0.8,5.70098222746572,0.9724297026918174,998,999,3991,2991,6982,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
0.75,0.0,0.05,2,5,1,0.8,5.70098222746572,0.9724297026918174,998,999,3991,2991,6982,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
1.0,0.3,0.1,3,5,5,1.0,5.702888537504065,0.9724112615462086,242,243,1842,1549,3391,1,1602.0,5.804113719417572,4.31465302959867,156,1018.0,1895.8
1.0,0.3,0.1,2,8,5,1.0,5.7042033540265065,0.9723985387617938,495,496,2034,1488,3522,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
0.75,0.1,0.1,2,3,10,0.8,5.704698814611446,0.9723937436907916,720,721,3059,2288,5347,3,3154.0,5.783886118106104,3.663666929472131,169,2773.6,3651.3999999999996
1.0,0.0,0.1,2,5,20,1.0,5.709767732711371,0.9723446627397944,656,657,2826,2119,4945,3,3154.0,5.783886118106104,3.663666929472131,169,2773.6,3651.3999999999996
1.0,0.1,0.1,2,5,20,1.0,5.709767732711371,0.9723446627397944,656,657,2826,2119,4945,3,3154.0,5.783886118106104,3.663666929472131,169,2773.6,3651.3999999999996
0.75,0.0,0.1,2,8,1,0.8,5.71322581613101,0.9723111540480524,416,417,1862,1395,3257,1,1602.0,5.804113719417572,4.31465302959867,156,1018.0,1895.8
0.75,1.0,0.1,2,3,5,0.8,5.71339635395836,0.972309501018308,589,590,2537,1897,4434,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
