SOC,Temperature(C),Capacity,R_50%,True_SOP(W),SHAP_SOC,SHAP_Temperature(C),SHAP_Capacity,SHAP_R_50%
0.9,10,2.38,25.61,88.282,31.110212,-5.538053,-1.8841137,-8.791112
0.9,25,2.5,24.22,98.59442814,29.31818,5.364296,-1.0731424,-8.234764
0.9,25,2.33,28.63,94.954,29.05979,5.3723145,-4.041316,-8.245016
0.9,25,2.79,14.02,109.7561449,25.30893,3.974525,1.8102156,5.8980284
0.9,10,2.33,28.63,85.023,31.687792,-5.6729293,-4.28603,-9.927091
0.9,10,2.42,23.97,90.111,31.457087,-5.3362226,-1.9976217,-7.3889756
0.9,25,2.91,13.04,111.2665306,23.986307,3.6596863,2.995781,7.3988805
0.9,10,2.36,27.18,86.604,31.441944,-5.6473694,-3.1005914,-9.401734
0.9,10,2.85,13.16,106.2203425,27.36875,-4.5523243,1.9594647,7.9215283
0.9,25,2.65,19.12,103.97,27.811886,4.849341,0.38062313,-2.430494
0.9,10,2.68,16.52,100.24,28.920076,-4.91345,0.5152175,2.539924
0.9,10,2.65,19.12,95.623,30.299652,-5.1846213,-0.13181403,-2.5954747
0.9,25,2.58,20.28,102.85,27.720465,5.017233,0.03061828,-3.03387
0.9,25,2.68,16.52,106.81,26.438303,4.560695,0.681151,2.404296
0.9,25,2.71,15.67,107.78,26.0787,4.378571,0.37698102,4.06661
0.9,25,2.54,21.78,101.41,28.437883,4.9505777,-0.05964174,-5.0782595
0.9,10,2.58,20.28,94.162,30.182293,-5.3558354,-0.6105482,-3.3956878
0.9,10,2.67,18.24,96.954,29.947731,-5.1295342,-0.17136288,-0.69120675
0.9,10,2.71,15.67,101.68,28.453579,-4.7315335,0.15578479,4.654194
0.9,25,2.61,18.56,104.64,27.04188,4.896542,0.5836237,-0.54389995
0.9,25,2.65,17.57,105.69,26.862333,4.7399926,0.84482694,0.7869013
0.9,25,2.76,15.32,107.95,26.275295,4.3749485,0.05303816,4.271759
0.9,10,2.72,14.84,102.9880518,27.424757,-4.495985,0.6400592,6.8758893
0.9,25,2.72,14.84,108.7617801,25.091822,4.1330857,0.77660817,5.8873262
0.9,25,2.42,23.97,99.4,29.151371,5.037995,-2.1439705,-6.017171
0.9,10,2.58,19.76,94.943,30.172474,-5.3292522,-0.5443449,-2.8007333
0.9,10,2.65,17.57,98.831,29.240002,-5.072775,0.42245248,0.84311587
0.9,25,2.78,14.71,108.65,25.793203,4.119094,0.006587736,5.5646486
0.9,25,2.74,16.12,107.04,26.874088,4.6511507,0.16089919,2.626843
0.8,25,2.65,19.12,102.25,26.021236,4.7291026,0.4092943,-2.3115776
0.8,10,2.67,18.24,95.712,28.332163,-5.0067105,-0.13331345,-0.63292867
0.8,10,2.68,16.52,98.254,27.224289,-4.789045,0.55184466,2.5179732
0.8,25,2.71,15.67,105.69,24.059809,4.26524,0.4102777,3.9545748
0.8,10,2.58,20.28,92.897,28.634706,-5.233012,-0.57493937,-3.2673378
