colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,reg_lambda,subsample,val_rmse,val_r2,best_iteration,best_n_estimators,n_leaves,n_splits,n_nodes
0.75,1.0,0.05,4,3,20,0.8,4.988588504251356,0.978889552560183,731,732,7595,6813,14408
0.75,0.0,0.1,4,5,5,0.8,4.992559188534251,0.9788559333184456,347,348,4920,4522,9442
0.75,0.3,0.03,4,3,20,0.8,4.994169197260905,0.978842293972543,998,999,11353,10353,21706
0.75,1.0,0.03,4,8,1,0.8,4.994725741713968,0.9788375781290977,457,458,5818,5310,11128
0.75,0.0,0.1,4,3,5,1.0,4.995278306111028,0.9788328954905244,586,587,8314,7677,15991
0.75,0.1,0.05,4,8,1,0.8,5.002826922389252,0.9787688738014667,449,450,6048,5548,11596
0.75,0.0,0.05,4,8,1,0.8,5.005438456792273,0.9787467022216674,448,449,6115,5616,11731
0.75,1.0,0.05,4,8,1,0.8,5.005827332278023,0.9787433997307385,448,449,5060,4561,9621
0.75,0.1,0.03,4,5,5,0.8,5.006238111696727,0.9787399109439353,581,582,7629,6997,14626
0.75,0.0,0.1,4,8,10,0.8,5.008180192415602,0.9787234128003216,347,348,4548,4150,8698
0.75,0.3,0.05,4,8,1,0.8,5.010879948763414,0.9787004675061639,347,348,4753,4355,9108
0.75,0.0,0.05,3,3,5,0.8,5.011867769811748,0.9786920689012851,991,992,7522,6522,14044
0.75,0.1,0.03,4,3,1,1.0,5.011940205858532,0.978691452973843,714,715,6572,5807,12379
0.75,0.0,0.05,4,5,10,1.0,5.01967227850535,0.9786256555714905,999,1000,11679,10679,22358
0.75,0.0,0.03,4,5,10,0.8,5.022025942497342,0.9786056065258733,734,735,9266,8481,17747
0.75,1.0,0.1,3,3,20,0.8,5.023963915669021,0.9785890913740246,995,996,6646,5646,12292
0.75,0.1,0.03,4,3,20,0.8,5.024781244392733,0.978582124296077,998,999,11665,10665,22330
0.75,0.3,0.03,4,5,10,0.8,5.0285875094102215,0.9785496639824758,733,734,8940,8156,17096
0.75,0.0,0.03,4,5,1,1.0,5.028837603077137,0.9785475302912221,990,991,12802,11802,24604
0.75,0.0,0.03,4,3,20,0.8,5.0297081368346515,0.9785401024452882,996,997,11887,10887,22774
0.75,0.1,0.03,4,8,1,0.8,5.031532140745562,0.9785245349278423,448,449,6152,5653,11805
0.75,0.1,0.03,4,5,10,0.8,5.0323026726728095,0.9785179568923346,734,735,9135,8350,17485
0.75,0.3,0.05,3,3,5,0.8,5.032900635009348,0.9785128513902592,998,999,7461,6461,13922
0.75,0.0,0.03,4,8,1,0.8,5.034262998917403,0.9785012170346873,448,449,6208,5709,11917
0.75,1.0,0.1,4,8,10,0.8,5.035793603035472,0.9784881421801978,347,348,3708,3310,7018
0.75,0.1,0.1,4,5,5,0.8,5.038765466009867,0.9784627443331174,347,348,4849,4451,9300
0.75,0.1,0.05,4,5,5,1.0,5.039384237088064,0.9784574543670456,359,360,4349,3939,8288
0.75,0.3,0.05,4,5,10,0.8,5.040798780169766,0.978445358787791,582,583,7277,6644,13921
0.75,0.3,0.1,4,5,5,0.8,5.041031949471998,0.9784433646606259,342,343,4510,4117,8627
0.75,0.1,0.1,4,3,20,0.8,5.042304691644268,0.9784324781982343,549,550,7204,6604,13808
0.75,1.0,0.1,4,5,5,0.8,5.043132037306225,0.978425399982773,344,345,3514,3119,6633
0.75,1.0,0.03,4,3,20,0.8,5.045080620218886,0.9784087246237338,998,999,10297,9297,19594
0.75,0.3,0.1,3,3,20,0.8,5.04577863717469,0.9784027496473039,991,992,7203,6203,13406
