SOC,PulseLength(s),Temperature(C),Voltage(V),SOP(W)
0.1,30.003,26.469,3.2164,27.537
0.05,30.003,25.522,3.0942,1.2549
0.049166667,18.557,26.229,3.0973,23.882
0.05,20.631,26.221,3.1029,22.469
0.05,22.75,25.424,3.1057,21.112
0.05,24.962,25.384,3.1075,19.816
0.05,27.316,25.452,3.1092,18.593
0.05,29.744,26.268,3.1103,17.455
0.05,30.002,25.665,3.1114,16.379
0.05,29.85,25.875,3.1119,17.521
0.049166667,30.002,26.067,3.1126,16.446
0.049166667,29.665,26.252,3.1129,17.691
0.049166667,30.002,25.663,3.1135,16.601
0.05,29.84,25.338,3.1138,17.689
0.05,30.002,25.27,3.1142,16.589
0.049166667,29.638,26.083,3.1143,17.829
0.049166667,30.002,25.396,3.1147,16.728
0.049166667,29.76,25.255,3.1146,17.823
0.05,30.002,26.087,3.1149,16.708
0.049166667,29.596,24.975,3.1151,17.939
0.05,30.003,25.89,3.1154,16.839
0.0,30.002,25.29,2.6214,0.39052
1.000016667,10.003,25.853,3.541,78.732
0.950041667,10.002,25.273,3.3384,78.491
0.90005,10.002,25.217,3.3364,78.1
0.850066667,10.002,25.221,3.335,77.742
0.8001,10.002,25.931,3.3332,77.415
0.800075,10.002,25.385,3.3355,76.878
0.750083333,10.002,25.333,3.33,77.136
0.750083333,10.002,25.396,3.3337,76.511
0.700083333,10.002,26.171,3.3135,76.308
0.65,10.003,25.371,3.3006,75.09
0.600083333,10.002,25.167,3.2968,74.063
0.550083333,10.002,25.531,3.2948,73.003
0.550083333,10.002,25.656,3.297,73.718
0.500083333,10.002,26.052,3.2933,72.157
0.500083333,10.002,25.24,3.2955,72.872
0.45,10.002,26.122,3.292,71.16
0.450083333,10.003,25.682,3.2943,71.94
0.4,10.002,25.988,3.2906,69.971
0.4,10.002,26.05,3.2932,70.808
0.35,10.002,25.497,3.287,68.456
0.35,10.001,25.434,3.2904,69.487
0.299916667,10.003,26.204,3.2792,66.307
0.3,10.002,25.98,3.2823,67.671
0.25,10.003,25.902,3.2645,61.709
0.249916667,10.002,25.876,3.2675,65.349
0.199916667,10.002,26.098,3.2481,52.499
0.199833333,10.002,25.522,3.2504,61.864
0.149916667,10.002,25.381,3.2209,42.75
0.149916667,10.002,25.597,3.2229,56.566
0.149833333,10.003,25.718,3.2291,56.206
0.149833333,10.002,25.603,3.2304,57.037
0.099833333,10.003,26.031,3.2062,31.989
0.099916667,10.001,25.391,3.2061,52.484
0.099833333,5.938,25.436,3.2145,-0.0
0.099833333,10.003,25.443,3.2173,47.009
0.099833333,10.002,26.147,3.218,55.146
0.099833333,10.002,25.582,3.2184,52.82
0.099833333,10.003,26.121,3.2184,53.465
0.049833333,10.003,25.664,3.1607,19.861
0.049833333,9.793,25.829,3.1633,41.045
0.049833333,10.002,25.703,3.168,38.883
-0.00025,10.002,25.272,2.9271,3.4422
-0.00025,7.654,25.274,2.939,24.504
-0.00025,8.947,25.912,2.9453,22.471
-0.00025,10.002,25.613,2.9497,20.616
-0.000166667,10.002,25.828,2.9529,19.681
-0.000166667,10.002,25.19,2.955,20.69
-0.00025,10.003,25.287,2.9571,20.373
-0.000166667,10.003,25.009,2.9587,20.874
1.000025,10.003,-8.4006,3.5362,41.955
1.000016667,10.003,-8.3371,3.5392,42.136
1.000025,10.002,-8.5518,3.5412,42.148
0.999983333,10.002,-8.2837,3.5478,42.139
0.999975,10.003,-8.8401,3.5499,42.082
0.999975,10.003,-8.4558,3.5516,42.031
0.999975,10.002,-8.3317,3.5532,41.986
0.999975,10.003,-9.3882,3.5552,41.974
0.999975,10.002,-8.56,3.5564,41.941
0.999975,10.002,-8.7851,3.5579,41.914
0.999975,10.002,-9.3006,3.5598,41.885
0.999975,10.002,-8.484,3.5614,41.885
0.999983333,10.002,-8.6244,3.5627,41.825
0.999983333,10.002,-8.3917,3.5641,41.79
0.999975,10.002,-8.8175,3.5658,41.753
0.999983333,10.002,-9.5144,3.567,41.694
0.999975,10.002,-9.1052,3.5677,41.61
0.999975,10.001,-9.3478,3.5679,41.557
0.999975,10.003,-9.4475,3.5694,41.566
1.0,10.002,-9.4609,3.5703,41.515
0.95,10.002,-9.2947,3.3257,36.975
0.95,10.002,-8.463,3.3301,38.537
0.95,10.003,-8.4817,3.3322,39.078
0.9,10.002,-9.2009,3.3176,35.927
0.9,10.003,-9.3521,3.3244,37.538
0.9,10.002,-8.6035,3.3273,38.032
0.850083333,10.001,-8.4597,3.3104,34.829
0.85,10.002,-9.3475,3.3186,36.496
0.85,10.002,-8.4216,3.3232,37.195
0.85,10.003,-9.5424,3.3259,37.609
0.8,10.002,-8.5495,3.302,33.375
0.8,10.002,-9.0995,3.3097,35.124
0.8,10.002,-8.6189,3.3157,36.012
0.8,10.002,-8.4171,3.3197,36.422
0.750083333,10.002,-9.1856,3.2935,32.401
0.750083333,10.002,-8.5491,3.2989,34.196
0.750083333,10.002,-8.479,3.303,34.97
0.750083333,10.002,-8.5233,3.3065,35.446
0.700083333,10.003,-9.06,3.2858,30.996
0.700083333,10.002,-8.83,3.2899,32.905
0.7,10.002,-9.3697,3.295,33.676
0.7,10.002,-9.0198,3.2969,34.135
0.65,10.003,-8.9972,3.2811,29.076
0.65,10.003,-9.2043,3.2849,31.273
0.65,10.002,-9.3359,3.2894,32.234
0.65,10.003,-9.1689,3.291,32.777
0.6,10.002,-8.4886,3.2768,26.892
0.600083333,10.002,-9.1955,3.2808,29.556
0.6,10.002,-8.4394,3.285,30.793
0.6,10.002,-8.7053,3.2867,31.383
0.6,10.003,-8.8597,3.2883,31.714
0.55,10.002,-8.515,3.2727,25.164
0.55,10.002,-9.4149,3.2775,27.98
0.55,10.002,-9.1282,3.2804,29.367
0.549916667,10.002,-9.1957,3.2841,30.432
0.5,10.003,-9.3075,3.2691,23.637
0.5,10.002,-8.2533,3.2746,26.416
0.499916667,10.002,-7.9343,3.2778,28.252
0.499916667,10.002,-8.9528,3.2801,29.178
0.45,10.002,-8.3964,3.2651,22.078
0.45,10.002,-8.8428,3.2711,24.881
0.45,10.002,-9.4678,3.275,26.408
0.45,10.002,-8.4699,3.2777,27.342
0.45,10.003,-8.242,3.2797,27.967
0.45,10.002,-8.9629,3.2811,28.388
0.4,10.003,-8.2209,3.2611,20.802
0.4,10.002,-9.4434,3.2674,23.461
0.4,10.003,-8.9236,3.2718,24.943
0.4,10.002,-8.5006,3.2747,25.932
0.4,10.003,-8.8097,3.2771,26.58
0.4,10.002,-8.9323,3.2786,27.021
0.4,10.003,-9.2772,3.2803,27.363
0.35,10.003,-9.2385,3.2552,19.368
0.35,10.002,-8.8983,3.2622,21.781
0.350083333,10.001,-9.3413,3.2666,23.307
0.350083333,10.003,-8.6519,3.2699,24.27
0.350083333,10.003,-9.4697,3.2726,24.971
0.350083333,10.003,-9.1677,3.2746,25.435
0.350083333,10.002,-8.5049,3.2764,25.812
0.300083333,10.002,-9.1357,3.2467,17.94
0.3,10.002,-8.3189,3.254,20.061
0.3,10.002,-8.3762,3.2584,21.456
0.3,10.002,-8.5947,3.262,22.447
0.300083333,10.002,-9.41,3.2643,23.114
0.3,10.002,-9.5149,3.2665,23.646
0.3,10.002,-8.8979,3.2682,24.023
0.250083333,10.002,-8.4194,3.2333,16.492
0.25,10.003,-9.485,3.2405,18.358
0.25,10.002,-8.6841,3.245,19.635
0.250083333,10.003,-8.1981,3.2484,20.582
0.25,10.002,-8.266,3.2506,21.28
0.250083333,10.003,-9.3021,3.2527,21.783
0.250083333,10.003,-9.4319,3.2544,22.196
0.25,10.003,-8.9332,3.2558,22.504
0.200083333,10.002,-8.3872,3.2125,14.944
0.200083333,10.003,-8.3647,3.22,16.452
0.200083333,10.002,-9.4352,3.225,17.625
0.200083333,10.002,-8.5116,3.2281,18.484
0.200083333,10.003,-9.0478,3.2305,19.119
0.200083333,10.002,-8.4175,3.2326,19.68
0.200083333,10.002,-8.3775,3.2342,20.066
0.200083333,10.004,-8.344,3.2356,20.378
0.150083333,10.002,-9.0947,3.1874,13.359
0.150083333,10.003,-9.4719,3.1951,14.492
0.150083333,10.002,-9.0819,3.1999,15.473
0.150083333,10.003,-8.541,3.2021,16.356
0.150083333,10.002,-9.4685,3.2042,16.961
0.150083333,10.002,-9.4913,3.2061,17.413
0.150083333,10.002,-9.453,3.2077,17.737
0.100083333,10.003,-8.4616,3.1493,11.3
0.100166667,10.003,-9.6827,3.1707,12.197
0.100083333,10.004,-8.4043,3.1796,13.029
0.100166667,10.002,-8.6233,3.1851,13.741
0.100083333,10.003,-8.5506,3.1886,14.324
0.100166667,10.003,-8.6271,3.1913,14.784
0.100083333,10.003,-9.3634,3.1937,15.136
0.100083333,10.005,-8.4937,3.1952,15.436
0.050083333,10.002,-9.3427,2.9394,6.6586
0.050166667,10.003,-9.279,3.0153,7.9006
0.050083333,10.002,-8.3623,3.0421,8.8582
0.050083333,10.003,-9.0326,3.0556,9.4612
0.050083333,10.004,-8.8848,3.0652,9.861
0.050083333,10.003,-8.3938,3.0721,10.166
0.050083333,10.003,-8.8766,3.0776,10.451
0.050083333,10.003,-8.6133,3.0823,10.673
0.050083333,10.003,-9.1944,3.0861,10.865
1.000016667,10.004,-19.179,3.4659,24.208
1.000025,10.002,-18.841,3.4672,24.664
0.950033333,10.004,-19.14,3.3157,21.528
0.950033333,10.003,-18.068,3.3211,22.6
0.950033333,10.002,-19.198,3.3239,23.137
0.950041667,10.005,-17.934,3.3257,23.352
0.900008333,10.002,-18.541,3.3045,20.859
0.900016667,10.005,-17.899,3.3112,21.822
