SOC,PulseLength(s),Temperature(C),Voltage(V),Current(A),AvgCurrent_5s,AvgCurrent_10s,AvgCurrent_20s,AvgCurrent_50s,SOP(W),SOP(W)_real
1.000000088,10.002,26.2,4.1558,0.0,0.0,0.0,0.0,0.0,0.9565257680940541,102.96
0.950000088,10.002,27.814,4.0783,0.0,0.0,0.0,0.0,0.0,0.9555399578467538,102.86
0.899996242,10.002,27.699,4.0613,0.0,0.0,0.0,0.0,0.0,0.9510052307091722,102.4
0.799996242,10.002,27.493,3.9268,-1.0,1.0000833333333332,1.000072727272727,1.000104761904762,1.0001286274509806,0.931387606787895,100.41
0.700184704,10.003,26.68,3.8541,-1.0,1.00015,1.0001454545454544,1.000142857142857,1.0001301960784312,0.9122727460927411,98.471
0.600000088,10.003,27.159,3.7709,0.0,0.8332799999999999,0.9090263636363637,0.9522738095238095,0.9802782352941176,0.8856953018255235,95.775
0.500153935,10.002,26.856,3.6662,-0.99981,0.9998733333333334,0.9998627272727273,0.9998509523809522,0.9998566666666666,0.8561801430213507,92.781
0.400115473,10.003,26.259,3.5937,-0.99986,0.9998816666666667,0.9998827272727272,0.9998735,0.9998772549019609,0.8274634905174911,89.868
0.300000088,10.003,27.172,3.528,-1.0002,1.0001499999999999,1.0001545454545455,1.0001309523809523,1.0001160784313725,0.7888295869257901,85.949
0.200000088,10.002,27.283,3.4665,0.0,0.4999766666666667,0.7271945454545455,0.8570495238095238,0.941082156862745,0.7102802264208975,77.981
0.150000088,10.002,27.884,3.4358,0.0,0.0,0.0,0.0,0.0,0.5788421461483407,64.648
0.100000088,10.002,27.818,3.3897,0.0,0.0,0.0,0.0,0.0,0.3629497019895622,42.748
0.050000088,10.002,27.798,3.3303,0.0,0.0,0.0,0.0,0.0,0.2070931018913755,26.938
0.020000088,10.003,27.504,3.2599,0.0,0.0,0.0,0.0,0.0,0.12546801341490585,18.658
1.000000097,10.002,-18.568,4.136,0.0,0.0,0.0,0.0,0.0,0.34298704448172995,40.723
0.950000097,10.002,-17.091,4.0172,0.0,0.0,0.0,0.0,0.0,0.3528747212621526,41.726
0.900000097,10.002,-17.063,3.9487,0.0,0.0,0.0,0.0,0.0,0.3442193072908554,40.848
0.799995414,10.002,-17.113,3.8412,0.0,0.0,0.0,0.0,0.0,0.315670242529037,37.952
0.699995414,10.002,-17.098,3.7543,0.0,0.0,0.0,0.0,0.0,0.279895188654507,34.323
0.599995414,10.002,-17.223,3.6813,0.0,0.0,0.0,0.0,0.0,0.23838271914068887,30.112
0.500000097,10.002,-17.313,3.6251,0.0,0.0,0.0,0.0,0.0,0.19205949562004504,25.413
0.400009464,10.002,-17.2,3.5725,0.0,0.0,0.0,0.0,0.0,0.14223664572148495,20.359
0.299971997,10.003,-17.069,3.5298,0.0,0.0,0.0,0.0,0.0,0.09302499817625104,15.367
0.199981364,10.002,-17.108,3.4866,0.0,0.0,0.0,0.0,0.0,0.05302081834080248,11.309
0.150009464,10.002,-17.233,3.4637,0.0,0.0,0.0,0.0,0.0,0.036031364538828096,9.5856
0.09999073,10.002,-17.161,3.4396,0.0,0.0,0.0,0.0,0.0,0.02001687707143378,7.9611
0.049971997,10.003,-17.393,3.4155,0.0,0.0,0.0,0.0,0.0,0.007414278869945993,6.6827
0.019998224,10.003,-17.092,3.3932,0.0,0.0,0.0,0.0,0.0,0.0,5.9306
1.000000023,10.001,11.066,4.1395,0.0,0.0,0.0,0.0,0.0,0.8647764083778098,93.653
0.949998092,10.001,12.928,4.0698,0.0,0.0,0.0,0.0,0.0,0.8674578122504667,93.925
0.899996162,10.002,12.792,4.0306,0.0,0.0,0.0,0.0,0.0,0.8623907475793429,93.411
0.799996162,10.003,12.84,3.9106,0.0,0.0,0.0,0.0,0.0,0.8453362303010467,91.681
0.699996162,10.003,12.722,3.8326,0.0,0.0,0.0,0.0,0.0,0.8237667020901148,89.493
0.599984578,10.001,12.807,3.7227,0.0,0.0,0.0,0.0,0.0,0.7960358598335558,86.68
