SOC,PulseLength(s),Temperature(C),Voltage(V),Current(A),AvgCurrent_5s,AvgCurrent_10s,AvgCurrent_20s,AvgCurrent_50s,SOP(W)
0.901002486,10.002,2.5991,3.7788,8.9986,8.99885,8.99874,8.998665,3.905084906,99.002
0.801354051,10.002,3.6709,3.6914,9.0007,9.00056,9.000281818,9.000166667,9.000270588,97.287
0.701367979,10.002,3.6772,3.6267,8.9984,8.998233333,8.998381818,8.998380952,8.998476471,95.328
0.501340141,10.002,4.2862,3.4531,9.003,9.00245,9.00214,9.00222381,9.002241176,88.962
0.101535086,10.002,3.439,2.6414,8.9997,9.000266667,9.00035,9.0004,5.434196226,17.676
0.949998265,10.002,0.48065,4.0894,0,0,0,0,0,99.233
0.699993072,10.002,0.94299,3.9166,0,0,0,0,0,95.805
0.59998612,10.002,1.2099,3.8332,0,0,0,0,0,93.252
0.499982648,10.002,0.56926,3.7414,0,0,0,0,0,90.168
0.399979176,10.002,1.0899,3.6544,0,0,0,0,0,87.399
0.299975701,10.002,0.93361,3.5917,0,0,0,0,0,84.357
1,10.002,1.1537,4.1909,0,0,0,0,0,99.792
0.950395078,10.002,2.047,3.9525,3.0001,2.999983333,3,3.000014286,3.000035294,99.561
0.800501242,10.002,1.904,3.8528,2.9999,3,3,3.000014286,2.999909804,97.274
0.500504723,10.002,2.0998,3.6081,3,2.999983333,3,3.00002,3.000026,89.673
0.400501242,10.002,1.7116,3.5161,3.0001,3,3,3.00001,3.000038,86.646
0.300497762,10.002,2.2309,3.44,2.9998,3,2.999990909,3.000014286,3.000031373,82.66
0.200459473,10.002,1.7876,3.3508,3,3.000016667,3.000045455,3.000066667,3.00005098,65.16
0.150475137,10.002,2.5852,3.309,3.0003,3.00026,3.00025,3.00025,3.00026,43.211
0.100351569,10.002,2.5025,3.1368,3,3.00008,3.00005,3.000061905,3.00006,18.621
1,10.002,1.0175,4.1912,0,0,0,0,0,99.894
0.900128796,10.002,1.1354,4.0157,1,1.000025,1.000048182,1.000082381,1.000092941,99.224
0.800111392,10.002,1.2699,3.9424,1.0001,1.00015,1.000127273,1.000116667,1.000117647,97.418
0.700121835,10.002,0.66091,3.8446,1.0002,1.000133333,1.000118182,1.000099524,1.000093529,95.418
0.600194932,10.002,0.66591,3.7739,1,1.000116667,1.000127273,1.000101905,1.00010549,92.892
0.300114873,10.002,1.0582,3.5267,1.0001,1.0001,1.000078182,1.000078571,1.000102549,83.649
0.100177528,10.002,1.6871,3.3205,1.0002,1.000133333,1.000118182,1.000119048,1.000125098,20.597
0.050088768,10.002,1.5939,2.8473,1,1.000083333,1.000061818,1.000094286,1.00011451,4.1932
0.099988695,10.003,42.627,3.3837,0,0,0,0,0,69.593
0.020012999,10.003,42.758,3.1447,0,0,0,0,0,25.226
0.950000111,10.003,-7.063,4.0469,0,0,0,0,0,73.405
0.799995742,10.003,-7.1778,3.87,0,0,0,0,0,66.967
0.699991373,10.003,-7.1122,3.7802,0,0,0,0,0,61.358
0.500000111,10.003,-7.096,3.618,0,0,0,0,0,45.937
0.300000111,10.003,-7.37,3.5104,0,0,0,0,0,24.815
0.200000111,10.003,-7.2705,3.4607,0,0,0,0,0,16.885
0.100000111,10.003,-7.201,3.4051,0,0,0,0,0,10.842
0.94999802,10.003,2.8248,4.0639,0,0,0,0,0,85.512
0.799995953,10.003,2.87,3.9015,0,0,0,0,0,83.525
0.599995953,10.003,2.7072,3.7191,0,0,0,0,0,78.948
0.39999182,10.003,2.8287,3.5792,0,0,0,0,0,61.822
0.30000422,10.003,2.7227,3.519,0,0,0,0,0,43.256
0.099987686,10.003,2.3884,3.3904,0,0,0,0,0,15.654
0.049973219,10.003,2.7543,3.3495,0,0,0,0,0,11.269
0.700184704,10.003,26.68,3.8541,1,1.00015,1.000145455,1.000142857,1.000130196,98.471
0.600000088,10.003,27.159,3.7709,0,0.83328,0.909026364,0.95227381,0.980278235,95.775
0.400115473,10.003,26.259,3.5937,0.99986,0.999881667,0.999882727,0.9998735,0.999877255,89.868
0.300000088,10.003,27.172,3.528,1.0002,1.00015,1.000154545,1.000130952,1.000116078,85.949
0.020000088,10.003,27.504,3.2599,0,0,0,0,0,18.658
0.299971997,10.003,-17.069,3.5298,0,0,0,0,0,15.367
0.049971997,10.003,-17.393,3.4155,0,0,0,0,0,6.6827
0.019998224,10.003,-17.092,3.3932,0,0,0,0,0,5.9306
0.799996162,10.003,12.84,3.9106,0,0,0,0,0,91.681
0.699996162,10.003,12.722,3.8326,0,0,0,0,0,89.493
0.199969134,10.003,12.881,3.433,0,0,0,0,0,36.81
1,10.003,0.62361,4.1911,0,0,0,0,0,99.794
0.800804084,10.003,2.5018,3.7633,5.9996,5.999,5.99898,5.999004762,5.9989,97.251
0.100734499,10.003,3.1408,2.8621,6.0017,6.001,6.000945455,6.00087619,5.547867925,17.405
0.601343616,10.003,4.0702,3.5484,9.0005,9.00026,9.00037,9.00032381,9.00029,92.439
0.301333186,10.003,4.3018,3.2773,9.0013,9.00032,9.00023,9.000315,9.000216,80.002
0.20132971,10.003,4.2901,3.1562,9.0008,9.00055,9.0005,9.000355,9.000302,58.875
0.150962487,10.003,3.9069,3.0973,9.0025,9.002683333,9.002718182,9.00257619,4.41634717,42.563
1,10.003,0.38608,4.1906,0,0,0,0,0,99.42
0.899996532,10.003,0.96375,4.0708,0,0,0,0,0,99.102
0.199972228,10.003,1.0134,3.5136,0,0,0,0,0,75.532
0.099968764,10.003,0.90388,3.41,0,0,0,0,0,23.625
0.900393337,10.003,2.1728,3.9378,3,3,3.000009091,3.00002381,3.000021569,99.14
0.700494281,10.003,1.5094,3.7722,3.0001,3.000066667,3.00006,3.000052381,3.000043137,95.231
0.400118354,10.003,0.73242,3.5974,1.0002,1.00014,1.000116364,1.000109,1.000088039,87.006
0.200111393,10.003,0.77883,3.4401,1.0002,1.000133333,1.000109091,1.000103333,1.000104706,71.244
0.701343607,10.004,4.4233,3.5658,11.999,11.99966667,12,11.99985714,12.00037255,95.322
0.799993061,10.004,0.79966,4.0222,0,0,0,0,0,97.76
0.149987902,10.004,1.1386,3.4564,0,0,0,0,0,48.083
0.400000026,30.001,27.822,3.643,0,0,0,0,0,86.528
0.300000026,30.001,27.682,3.5852,0,0,0,0,0,81.859
0.100000026,30.001,27.84,3.3998,0,0,0,0,0,31.743
1.000000026,30.002,25.575,4.1568,0,0,0,0,0,102.39
0.800000026,30.002,27.702,3.9913,0,0,0,0,0,98.723
0.600000026,30.002,27.581,3.8096,0,0,0,0,0,93.574
0.500000026,30.002,27.745,3.7168,0,0,0,0,0,89.91
0.200000026,30.002,27.558,3.5043,0,0,0,0,0,65.808
0.900000026,30.003,27.726,4.071,0,0,0,0,0,100.45
0.69999618,30.003,27.618,3.9069,0,0,0,0,0,96.594
