SOC,PulseLength(s),Temperature(C),Voltage(V),True_SOP(W),SHAP_SOC,SHAP_PulseLength(s),SHAP_Temperature(C),SHAP_Voltage(V)
0.999975,10.003,-9.4475,3.5694,41.566,6.380382380805677,-0.15025827256496996,-10.50096620966564,7.758771648352267
0.999975,12.591,-8.3252,3.5142,41.636,7.0901951302739326,-0.09613840160192921,-9.90878798032063,6.852520493363263
0.999975,15.746,-8.3181,3.5171,39.583,7.044525993407006,-0.5304583730292507,-10.059029609615681,6.887598625329556
0.999975,17.51,-8.4486,3.5157,38.871,7.137683528367197,-1.3516647398192436,-10.012108478366862,6.254104860035004
0.999975,18.915,-8.8751,3.5156,38.22,7.122229173447704,-1.3499088721117005,-9.932688620060217,6.255367177600274
0.999975,21.07,-8.0908,3.5145,37.567,7.357037525153719,-2.0571217008377425,-9.254189589458983,6.704807616510661
0.999975,22.788,-8.6546,3.5144,36.951,7.273711274847155,-3.6286516757309437,-9.649267823675181,4.930722989916103
0.999975,10.002,0.75752,3.485,60.149,8.215904157995247,0.693926035198383,5.366212908633752,10.783761807648698
0.999975,10.001,-9.3478,3.5679,41.557,5.998101403681794,1.2186764395423233,-9.838542998299236,7.811005990338745
0.999975,10.003,-8.4558,3.5516,42.031,6.633299619111931,-0.35729343850165607,-10.230934198227478,7.83029018784524
0.999975,10.002,-9.1052,3.5677,41.61,5.964948056848953,0.2678000614279881,-10.093129354744452,8.016120244023623
0.999975,10.002,-8.8175,3.5658,41.753,6.000327754734317,0.2533533277222887,-10.112416896346257,8.014474815848516
0.999975,10.002,-8.484,3.5614,41.885,6.026823817646363,0.2515974600147456,-10.166671092930482,7.977005133783678
0.999975,10.002,-9.3006,3.5598,41.885,5.91394074978889,0.2452324277954176,-10.279415642909008,7.922819107851247
0.999975,10.002,-8.7851,3.5579,41.914,6.000327754734317,0.2515412503574044,-10.108792741514044,8.012662738488288
0.999975,10.002,-8.56,3.5564,41.941,6.036089894032338,0.2515974600147456,-10.115875134906965,7.983926782036433
0.999975,13.69,-8.2536,3.515,40.919,7.0474513527902305,-0.16018253698246554,-9.965264165959088,6.927227938455762
0.999975,10.003,-9.3882,3.5552,41.974,6.395124637432164,-0.3382701922347769,-10.30358978467877,7.79576434545801
0.999975,10.002,-8.3317,3.5532,41.986,6.050278078784467,0.27962207536911593,-9.9717081058037,8.081026958409929
0.999916667,30.002,-19.061,3.4908,19.884,5.085433045917889,-7.48764173748903,-20.677117395394017,5.707480220034486
0.999916667,30.001,-18.321,3.5016,19.952,5.114683490012539,-7.402535758302547,-20.690424706477206,5.798957585374592
0.999916667,30.003,-8.1567,3.5032,34.436,7.65638730657287,-8.129217722692992,-9.55664966357639,6.642036470767343
0.950083333,30.001,10.599,3.3354,71.353,11.11877662532148,-6.919136480451561,11.883081139465794,16.603948437389917
0.950083333,30.003,11.534,3.3365,71.054,11.197752834011334,-7.060705832000822,12.031836834440474,17.08500503228628
0.950041667,2.003,10.183,3.3343,75.629,6.1638560630776915,9.393107628792059,12.01278088692925,12.019216403857572
0.950041667,10.002,25.273,3.3384,78.491,7.555390359177254,-0.7869764335663058,20.09403716077679,13.815682509082835
0.950041667,10.005,-17.934,3.3257,23.352,2.558672880651429,-2.1200205934094267,-20.905890838684282,7.329696751130978
0.950041667,10.003,40.81,3.339,82.804,5.639826078569167,-0.8268980568437837,26.687937657955334,13.309854608760215
0.950041667,2.002,1.1233,3.3309,67.857,5.894151328171137,10.213344010761938,4.056693300026236,11.266738454062725
0.950041667,30.002,40.781,3.3375,81.093,8.099434119454235,-5.980429488862865,26.13567939360626,16.321512441063533
0.950033333,10.003,11.18,3.3366,69.847,8.388133407232818,-1.70973101436859,12.292995727612869,14.16510414648801
0.950033333,2.002,40.019,3.3373,84.981,4.027675099475309,6.709735383954831,24.903341699851445,11.941349555812776
0.950033333,30.002,25.024,3.3365,77.261,9.696692083464004,-6.274101408191491,19.46632731011836,16.452599365053466
0.950033333,10.002,-19.198,3.3239,23.137,0.8601614373002667,-0.901245636807289,-21.518246547246818,7.837584708222421
0.950033333,10.003,-18.068,3.3211,22.6,1.487265806235373,-1.9053152598952874,-21.096441042924997,6.9170733162260145
0.950033333,10.004,-19.14,3.3157,21.528,1.9636368474271149,-2.4152472304785624,-21.080756944435414,6.43513835157617
0.950033333,2.002,25.108,3.3355,81.748,5.3356733877782245,7.528398409367074,19.13434768611216,12.492562581165693
0.95,15.211,2.5559,3.3374,63.388,9.065753517821431,-1.5243531684204936,4.449833973998903,13.913089787142816
0.95,30.003,-8.8975,3.33,32.359,5.925303653217852,-9.15500759200193,-9.82403309359448,9.635721142119728
0.95,30.002,-8.8195,3.3294,32.644,5.908438856275752,-9.110172104397789,-9.899618797895965,9.484056274108589
0.95,10.003,1.0193,3.3347,56.902,8.346537590763765,-1.5335117507958784,3.694443409409141,14.013648641478504
0.95,30.004,-8.1405,3.3288,33.075,5.430996443304466,-9.220879773930646,-9.83087205841439,9.46764276481932
0.95,30.002,2.3481,3.3437,61.27,10.219959388175049,-7.530886881845072,4.297590898023918,15.73887582389405
0.95,10.002,-8.463,3.3301,38.537,5.827914641720708,0.3180119878263213,-9.98320210933336,11.921712179598398
0.95,14.568,1.7091,3.3375,65.889,9.0367422114918,-1.343153956476599,4.360531500348588,14.168354882702697
0.95,30.002,1.7776,3.337,64.995,10.15103110670112,-7.445937579688616,4.05704488992691,16.19933964123251
0.95,30.002,2.2379,3.3366,63.795,10.280212843222543,-7.449207140477374,4.2582626408524815,16.28323697360465
0.95,30.003,2.1781,3.3364,62.292,10.262727070264518,-7.486521001951769,4.242340571386739,16.471695107237903
0.95,30.003,2.568,3.3354,60.424,10.151184940307866,-7.635742786470801,4.209743427021895,15.936490453451405
0.95,30.003,2.48,3.3357,59.296,10.168738508492243,-7.471555425282568,4.125401543176268,16.176888489655685
0.95,18.052,2.5969,3.3354,61.307,9.285985400390345,-2.283783364081755,4.325177187602967,13.741707948336844
0.95,14.974,1.8072,3.3363,63.491,9.029369129952975,-1.573927631401457,4.227692823227262,14.155627145601903
0.95,29.593,-9.0932,3.3266,34.262,4.206673043598421,-5.543541187387891,-9.704632179446053,8.04471467584255
0.95,10.003,-8.4817,3.3322,39.078,5.736682186755352,-1.5626075019943528,-10.12466312745004,10.582404781682417
0.95,30.002,-19.26,3.3155,17.412,1.3834726959851105,-6.940477166245691,-20.719527868486477,7.376445728074759
0.95,10.002,-9.2947,3.3257,36.975,2.547907725709956,-0.9757196514680981,-9.956650624560424,8.247347434811527
0.95,30.003,-18.914,3.3184,18.187,1.4845032050320879,-6.8589597384026275,-20.153453572404104,7.6295209688972685
0.95,30.002,-18.172,3.3206,18.508,1.5385312442341819,-6.943908114116639,-20.26620839975076,7.763424219511217
0.95,2.003,-18.871,3.3199,28.732,0.6265599951450713,8.517028469275683,-21.93369415986701,7.848492049699416
0.949991667,2.003,-17.68,3.314,27.983,0.18190232616616414,7.352514599924907,-20.03241066928138,7.118992831042269
0.949991667,2.002,-8.2147,3.3254,49.618,1.7881598355900497,9.810911521259696,-9.246441191114718,8.968789558822754
0.949916667,30.002,2.9391,3.3455,63.474,10.970932075944729,-7.502578875590116,6.192510833991691,16.505199213360903
0.949916667,30.003,2.628,3.3462,64.603,11.005356946657411,-7.451423736084252,6.363626332359854,16.741235893995036
0.949916667,30.003,2.9127,3.3459,64.121,11.005356946657411,-7.451423736084252,6.363626332359854,16.741235893995036
0.949916667,30.002,2.6622,3.3445,62.428,10.970932075944729,-7.502578875590116,6.192510833991691,16.505199213360903
0.949916667,13.914,1.9588,3.3346,66.02,9.177645095117622,-1.1723616599151865,4.392724070440745,14.032494643263053
0.900083333,30.002,40.579,3.338,80.713,7.142446337023866,-6.433845907016657,27.307643639061133,15.698880851209397
0.900083333,30.003,25.425,3.3375,76.732,8.865446952497587,-6.926654718031641,19.66158668813063,16.49719130093581
0.900058333,10.001,40.271,3.3376,82.498,4.9279753963794795,-0.08574939088197425,27.39999516019714,13.040763624557293
0.900058333,2.003,11.052,3.3316,75.303,5.192773764239392,10.554395323174539,13.331589983667946,10.97966999418335
0.900058333,10.003,11.339,3.3338,69.19,7.919135175555712,-0.9267573282052762,12.294160344002302,13.425721830539405
0.90005,2.002,25.053,3.3337,81.57,4.896995889382669,8.399122351149563,19.09452611898654,11.721608584062196
0.90005,2.002,0.69581,3.3272,67.389,5.2298432443419,10.419692191397772,5.0010608245769985,9.945464823507937
0.90005,2.002,40.502,3.3356,84.768,3.7396559520572192,6.728401903877966,25.275602934934433,11.76457062772708
0.90005,10.002,25.217,3.3364,78.1,6.889834440837149,-0.5157770566944965,19.90192965739756,13.932676277223509
0.900016667,10.005,-17.899,3.3112,21.822,1.0098916255123913,-1.9607427907222883,-20.548137582599885,6.219917248908896
0.900016667,10.003,-17.883,3.3186,22.641,0.657873104494065,-1.7373036705004052,-20.796171063672517,6.91224972379976
0.900016667,2.002,-8.7877,3.3191,47.515,1.4441226973151788,9.779470347163732,-9.521034185198369,8.514897845012602
0.900016667,10.002,0.60622,3.3303,53.83,6.361712886408204,0.30417672587092964,3.6897967009979764,11.780775133363203
0.900008333,10.002,-18.995,3.3155,22.413,-0.008820432829670608,-0.5200467444583774,-20.815298377150903,7.298892818860477
0.900008333,2.002,-8.6774,3.3245,48.404,1.4708206831058488,9.570825475463643,-9.4362130349793,8.75062132082181
0.900008333,2.002,-18.528,3.3017,26.312,-1.8402861698670312,7.427720691249706,-21.895829158247217,4.847191488716053
0.900008333,10.002,1.3718,3.3328,55.38,6.361087589586386,0.11088221529498696,2.68955418214784,12.80499920347822
0.900008333,2.003,-18.427,3.3101,26.956,-0.8088593221013434,7.843732728427276,-21.892588025160368,6.597949848008575
0.900008333,10.002,-18.541,3.3045,20.859,-0.9390727962786332,-0.6855447652284056,-20.667778599915327,5.791676578120096
0.9,30.001,11.063,3.3371,70.493,9.174309852423612,-7.248476268574596,12.254996379695367,16.356996760320616
0.9,30.002,-8.7808,3.328,31.197,4.761303583011031,-9.310132051049731,-9.703736607797909,8.931216216431931
0.9,30.003,-9.2947,3.3269,31.512,4.747519199764356,-8.829841111702844,-9.677467026079539,8.54228474738542
0.9,29.403,-8.5484,3.3249,32.659,3.6601119010848926,-5.624097179342061,-9.506377875285688,8.018368547990685
