SOC,PulseLength(s),Temperature(C),Voltage(V),AvgCurrent_20s,True_SOP(W),SHAP_SOC,SHAP_PulseLength(s),SHAP_Temperature(C),SHAP_Voltage(V),SHAP_AvgCurrent_20s,fold
1.0,10.003,0.38608,4.1906,0.0,99.42,17.295141,-1.0613048,5.7290673,8.7297735,-2.7353878,2
1.0,10.002,1.0175,4.1912,0.0,99.894,19.57352,-0.08301694,8.147982,6.645732,-2.4724288,5
1.0,10.002,1.1537,4.1909,0.0,99.792,19.941774,0.3491899,4.2733335,8.731528,-2.452865,4
1.0,10.002,1.1356,4.1906,0.0,99.59,20.01608,0.3491899,4.601532,8.731528,-2.452865,4
1.0,10.001,0.74664,4.1905,0.0,99.374,19.764114,-0.8039215,5.824367,8.882667,-2.2907383,4
1.0,10.003,0.38608,4.1906,0.0,99.42,16.820885,-0.7947491,-12.48338,8.531235,-2.2102904,4
1.0,10.002,1.0175,4.1912,0.0,99.894,20.056856,0.3491899,5.399397,8.80115,-2.3498902,4
0.951268758,10.002,2.4254,3.6991,8.87,99.152,16.943068,0.3534709,2.6098974,3.32702,5.6239905,2
0.951268758,10.002,2.4254,3.6991,8.87,99.152,20.123438,0.06841974,2.7349386,3.357718,5.247364,5
0.951268758,10.002,2.4254,3.6991,8.87,99.152,18.800348,0.057363678,0.019461714,4.2770877,4.680191,1
0.951268758,10.002,2.4254,3.6991,8.87,99.152,18.925934,-0.008713724,0.8369904,4.426662,3.7959304,3
0.951268758,10.002,2.4254,3.6991,8.87,99.152,18.914454,0.3950172,1.623964,4.563052,5.3695803,4
0.950986816,10.002,2.2157,3.7753,9.000671429,99.293,18.799643,0.3593441,1.8615371,5.174197,5.2909594,4
0.950986816,10.002,2.2157,3.7753,9.000671429,99.293,18.793564,-0.0802919,2.4932835,4.7142196,3.3274548,3
0.950986816,10.002,2.2157,3.7753,9.000671429,99.293,18.12678,0.057363678,0.4933545,4.8088894,4.705925,1
0.950986816,10.002,2.2157,3.7753,9.000671429,99.293,20.002728,0.039876558,3.173409,3.7787328,4.8033266,5
0.950986816,10.002,2.2157,3.7753,9.000671429,99.293,16.589693,0.2134146,3.0845246,4.2794113,5.150112,2
0.95069791,10.002,1.7753,3.8583,5.998809524,99.404,19.908344,-0.021099906,2.666959,4.067428,5.0224705,5
0.95069791,10.002,1.7753,3.8583,5.998809524,99.404,16.611942,0.1808226,2.1997724,4.8016515,4.9098916,2
0.95069791,10.002,1.7753,3.8583,5.998809524,99.404,17.885855,0.0831196,0.7572054,5.3148766,4.0854025,1
0.95069791,10.002,1.7753,3.8583,5.998809524,99.404,18.767233,-0.08386777,3.104135,4.513558,3.3847072,3
0.95069791,10.002,1.7753,3.8583,5.998809524,99.404,18.505415,0.34349516,1.7862043,5.5619545,5.150227,4
0.950395078,10.002,2.047,3.9525,3.000014286,99.561,16.320202,0.19955353,2.163076,5.15805,4.329875,2
0.950395078,10.002,2.047,3.9525,3.000014286,99.561,18.760988,-0.0977971,2.3997757,5.4324255,2.2055392,3
0.950395078,10.002,2.047,3.9525,3.000014286,99.561,20.069738,-0.05346118,2.8900957,4.062688,4.477291,5
0.950395078,10.002,2.047,3.9525,3.000014286,99.561,17.948666,0.055973094,0.18775804,5.133696,3.4824712,1
0.950395078,10.002,2.047,3.9525,3.000014286,99.561,18.589142,0.31331912,1.7779672,6.3733974,4.191657,4
0.950191862,10.001,41.578,4.0496,1.000056,106.69,15.655052,-0.4026667,14.377114,5.1696296,1.3758242,4
0.950191862,10.001,41.578,4.0496,1.000056,106.69,15.331061,0.0066282917,15.868397,4.6075115,0.5042483,3
0.950191862,10.001,41.578,4.0496,1.000056,106.69,16.260897,0.5405572,16.94267,2.58312,1.6217498,5
0.950191862,10.001,41.578,4.0496,1.000056,106.69,13.726596,0.5782935,15.846371,4.4363317,0.88817436,2
0.950191862,10.001,41.578,4.0496,1.000056,106.69,15.6495695,0.035647172,14.134183,2.8873725,1.1116034,1
0.950176946,2.002,26.408,4.0351,0.999863,104.92,14.837584,2.724575,9.4989395,3.5772324,1.671648,1
0.950176946,2.002,26.408,4.0351,0.999863,104.92,12.501078,1.4875915,11.372147,3.3018167,1.6520835,2
0.950176946,2.002,26.408,4.0351,0.999863,104.92,15.710953,2.6576145,10.884576,4.401007,0.8017207,3
0.950176946,2.002,26.408,4.0351,0.999863,104.92,16.502098,1.0713685,13.247545,3.836853,2.2966053,5
0.950176946,2.002,26.408,4.0351,0.999863,104.92,15.992353,2.671903,10.924633,5.0460286,2.138833,4
0.950113133,10.001,0.98904,4.0327,1.000134286,99.704,13.677635,0.014795623,10.033187,3.4962986,3.356119,2
0.950113133,10.001,0.98904,4.0327,1.000134286,99.704,17.745996,0.17314509,13.092591,4.077698,3.309996,5
0.950113133,10.001,0.98904,4.0327,1.000134286,99.704,18.578875,-0.6835198,5.200363,6.1830597,2.7572374,4
0.950113133,10.001,0.98904,4.0327,1.000134286,99.704,17.357765,-0.2791075,7.419161,4.897686,0.7481167,3
0.950113133,10.001,0.98904,4.0327,1.000134286,99.704,15.33334,-0.54940206,8.270595,4.3343854,1.1627938,1
0.950000111,10.003,-7.063,4.0469,0.0,73.405,13.134152,-0.65507156,-9.47756,4.464702,-1.9335767,1
0.950000111,10.003,-7.063,4.0469,0.0,73.405,13.828978,-0.49303854,-22.491535,6.7855763,-1.8485446,3
0.950000111,10.003,-7.063,4.0469,0.0,73.405,15.32347,-0.95519364,-12.445006,7.4685364,-2.8149548,4
0.950000111,10.003,-7.063,4.0469,0.0,73.405,11.73145,-1.0064315,-4.636197,5.24029,-3.0557222,2
0.950000111,10.003,-7.063,4.0469,0.0,73.405,16.077188,-0.48526534,-1.8702908,3.0843325,-3.217772,5
0.950000097,10.002,-17.091,4.0172,0.0,41.726,9.300666,0.18532254,-42.168457,5.1769495,-2.984153,2
0.950000097,10.002,-17.091,4.0172,0.0,41.726,13.045509,-0.32430792,-44.58687,5.313536,-2.1507797,3
0.950000097,10.002,-17.091,4.0172,0.0,41.726,12.370709,0.022688363,-41.32064,3.8998358,-3.3910863,5
0.950000097,10.002,-17.091,4.0172,0.0,41.726,10.360704,-0.11653648,-43.32764,4.2824707,-2.7393498,1
0.950000097,10.002,-17.091,4.0172,0.0,41.726,13.07862,0.1582138,-39.063778,5.1995173,-3.4336584,4
0.950000088,10.002,27.814,4.0783,0.0,102.86,13.726067,-0.20328507,10.440352,6.2251744,-1.8533071,1
0.950000088,10.002,27.814,4.0783,0.0,102.86,16.181993,0.07504671,11.15408,6.7583156,-1.7332962,3
0.950000088,10.002,27.814,4.0783,0.0,102.86,11.740232,0.62614286,14.530236,7.098934,-2.3229246,2
0.950000088,10.002,27.814,4.0783,0.0,102.86,16.18337,0.067065604,13.079627,7.007275,-1.9915277,5
0.950000088,10.002,27.814,4.0783,0.0,102.86,15.381135,0.3708439,11.552406,9.392796,-1.7327862,4
0.949998265,10.002,0.48065,4.0894,0.0,99.233,18.100235,-0.09889184,5.8007073,8.059381,-1.7012382,3
