SOC,Temperature(C),Capacity,R_50%,SOP(W)
0.05,25,2.5,24.22,16.68614489
0.02,25,2.5,24.22,12.55432259
1,10,2.5,24.22,89.35839439
0.95,10,2.5,24.22,89.34567144
0.9,10,2.5,24.22,88.9572129
0.8,10,2.5,24.22,87.46484465
0.7,10,2.5,24.22,85.07995234
0.6,10,2.5,24.22,81.77449765
0.5,10,2.5,24.22,77.77001587
0.4,10,2.5,24.22,58.56780395
0.3,10,2.5,24.22,36.03595635
0.2,10,2.5,24.22,20.68609142
0.15,10,2.5,24.22,13.89503574
0.1,10,2.5,24.22,10.3103002
0.05,10,2.5,24.22,8.028723122
0.02,10,2.5,24.22,6.007493024
