SOC,PulseLength(s),Temperature(C),Voltage(V),AvgCurrent_20s,test,SOP(W)
0.099966667,10.002,1.3187,3.3282,0.200006667,1,3.0028
0.099966667,10.003,1.9335,3.3301,0.200006667,1,4.9997
0.049966667,10.002,1.9407,2.7294,0.024403793,1,1.4021
0.999693333,10.003,-18.348,4.1942,0,1,24.098
0.949903333,10.003,-18.94,4.0702,0,1,27.656
0.949903333,10.001,-18.025,4.0737,0,1,26.972
0.89989,10.002,-18.569,4.0401,0,1,27.948
0.89989,10.003,-17.614,4.0499,0,1,27.372
0.849876667,10.002,-19.059,3.983,0,1,26.638
0.849876667,10.002,-18.767,3.9996,0,1,26.159
0.79988,10.004,-18.03,3.9314,0,1,25.538
0.749893333,10.004,-18.048,3.887,0,1,24.11
0.699883333,10.004,-18.745,3.8493,0,1,22.541
0.649886667,10.002,-18.534,3.8083,0,1,20.469
0.5999,10.003,-18.81,3.7641,0,1,18.711
0.54989,10.004,-18.594,3.7173,0,1,16.212
0.49991,10.001,-18.133,3.6712,0,1,14.307
0.44991,10.003,-18.414,3.6314,0,1,12.289
0.39991,10.004,-17.719,3.596,0,1,10.349
0.3499,10.002,-18.662,3.5625,0,1,8.4119
0.299913333,10.003,-18.619,3.5219,0,1,6.2317
0.249916667,10.003,-19.072,3.4772,0,1,4.1669
1.000003333,30.003,-8.1392,4.1994,0.005288438,1,79.748
0.949996667,30.004,-8.8921,4.0942,0.111107407,1,84.735
0.949993333,30.002,-9.6513,4.1124,0.214285714,1,93.04
0.95,30.003,-9.3104,4.1355,0.063956774,1,96.511
0.899966667,30.003,-9.0353,4.077,0.111107407,1,85.855
0.9,30.004,-9.3586,4.0881,0.214282143,1,92.398
0.85,30.004,-8.8553,4.0579,0.214278571,1,83.176
0.8,30.004,-9.2068,3.9854,0.222237037,1,75.721
0.749966667,30.003,-9.2276,3.9104,0.214278571,1,67.101
0.7,30.003,-8.4918,3.8638,0.206893103,1,61.569
0.649966667,30.003,-9.0687,3.8261,0.214278571,1,57.445
0.6,30.003,-8.5545,3.7817,0.206893103,1,52.821
0.6,30.003,-7.898,3.7879,0.107139286,1,55.27
0.599966667,30.001,-7.5819,3.8278,0.103441379,1,56.891
