SOC,Temperature(C),Capacity,R_50%,True_SOP(W),SHAP_SOC,SHAP_Temperature(C),SHAP_Capacity,SHAP_R_50%
0.95,10,2.58,20.28,94.592,25.23050469,-5.727101754,-0.247266031,-2.124222632
0.95,25,2.36,27.18,96.754,23.9825744,5.106352192,-3.063572883,-5.918329579
0.95,10,2.48,21.32,93.552,25.09764465,-5.811477943,-0.554574356,-2.251054187
0.95,25,2.42,23.97,99.855,24.30631737,4.668037961,-2.21293858,-4.19847908
0.95,10,2.42,22.58,92.031,26.02325937,-3.555683125,-1.697959715,-5.342040506
0.95,25,2.79,14.02,110.4839539,21.18132294,3.854588175,2.11266954,6.248309745
0.95,10,2.54,20.9,93.85,25.13846986,-5.777909281,-0.409902372,-2.21741523
0.95,25,2.54,20.9,102.8,23.0167658,4.952993312,0.010561449,-1.722554793
0.95,10,2.85,13.16,106.7376955,22.47889741,-4.249225675,2.748925524,8.678481166
0.95,25,2.85,13.16,111.5200244,20.49008567,3.755333696,2.301269825,7.109267063
0.95,10,2.58,19.76,95.421,25.27294102,-5.704587304,-0.083906746,-1.087876819
0.95,25,2.33,28.63,95.287,24.2066467,5.027720342,-4.022108609,-6.609883664
0.95,10,2.67,18.24,97.371,25.27405803,-5.324601944,0.509837611,0.433667304
0.95,25,2.65,19.12,104.6,22.94806293,4.920160599,0.414739898,-0.641205277
0.95,25,2.72,14.84,109.546348,20.84007365,4.011243048,1.478335576,6.195175372
0.95,10,2.36,27.18,87,26.13819467,-6.058288847,-3.409962374,-7.15843413
0.95,25,2.5,24.22,98.99299934,24.37449655,4.994709358,-0.965450696,-6.300042684
0.9,25,2.36,27.18,96.384,23.42568945,5.161613443,-3.067782809,-5.920692567
0.9,25,2.65,17.57,105.69,21.81660238,4.577282868,0.847455747,2.129583075
0.9,25,2.5,22.73,100.6,23.26018262,4.907752039,-0.78833442,-3.438794291
0.9,10,2.33,28.63,85.023,25.72340599,-6.000894219,-4.167612671,-7.777510564
0.9,10,2.48,21.32,93.166,24.5438909,-5.806395713,-0.578957694,-2.255040972
0.9,10,2.42,22.58,91.654,25.52699459,-3.550600895,-1.722343052,-5.288538333
0.9,25,2.42,23.97,99.4,23.73714724,4.665408493,-2.217148506,-4.213127257
0.9,25,2.5,24.22,98.59442814,23.83940933,5.023281528,-0.969660622,-6.280607942
0.9,10,2.36,27.18,86.604,25.45745161,-6.126885713,-3.434566407,-7.289410227
0.9,10,2.82,14.02,104.46,22.61125204,-4.531220723,2.256885469,7.399542267
0.9,10,2.68,16.52,100.24,23.74451915,-5.08587062,1.271981778,3.322908433
0.9,25,2.91,13.04,111.2665306,19.41812982,3.641329518,3.531507411,7.806265212
0.9,10,2.86,13.52,105.35,22.24109216,-4.292482746,3.139224538,7.732477639
0.9,25,2.86,13.52,110.23,20.32996677,3.761231657,2.661010722,6.418945781
0.9,10,2.5,24.22,88.9572129,25.76739791,-5.963223893,-1.155240795,-7.052079785
0.9,10,2.5,22.73,91.553,25.22174815,-5.806945513,-0.968276741,-3.93845826
0.9,10,2.58,19.76,94.943,24.72878385,-5.699505073,-0.116875904,-1.073681203
0.9,10,2.38,25.61,88.282,25.4812858,-5.846708349,-1.805602845,-6.633582121
0.9,25,2.92,13.02,110.9106014,20.13676539,3.785603833,3.062532091,6.76882911
0.9,25,2.61,18.56,104.64,21.90401976,4.831591054,0.275758621,0.984655904
0.9,10,2.91,13.04,107.286508,21.21817752,-4.154655308,3.964246197,9.459193527
0.9,25,2.48,21.32,101.89,22.43143835,4.970664923,-0.080557617,-1.793724214
0.9,25,2.33,28.63,94.954,23.69787622,5.063577739,-4.017858552,-6.567442609
0.9,10,2.98,13.31,107.1902983,21.45111147,-4.184452694,4.244831329,8.743989413
0.9,25,2.38,25.61,97.751,23.3564919,4.935643249,-1.89512374,-5.316362886
0.9,10,2.61,18.56,97.373,24.29263769,-5.555426646,-0.182292496,0.903682391
