SOC,Temperature(C),Capacity,R_50%,SOP(W)
0.9,25,2.58,19.76,103.45
0.8,25,2.58,19.76,101.68
0.7,25,2.58,19.76,99.595
0.6,25,2.58,19.76,96.656
0.5,25,2.58,19.76,93.719
0.4,25,2.58,19.76,90.992
0.3,25,2.58,19.76,87.13
0.2,25,2.58,19.76,76.565
0.15,25,2.58,19.76,56.738
0.1,25,2.58,19.76,37.343
0.05,25,2.58,19.76,23.312
0.02,25,2.58,19.76,13.792
0.01,25,2.58,19.76,8.9902
1,10,2.58,19.76,95.672
0.95,10,2.58,19.76,95.421
0.9,10,2.58,19.76,94.943
0.8,10,2.58,19.76,93.528
0.7,10,2.58,19.76,91.19
0.6,10,2.58,19.76,88.101
0.5,10,2.58,19.76,84.989
0.4,10,2.58,19.76,81.134
0.3,10,2.58,19.76,64.785
0.2,10,2.58,19.76,35.011
0.15,10,2.58,19.76,22.573
0.1,10,2.58,19.76,15.469
0.05,10,2.58,19.76,8.8108
1,25,2.48,21.32,102.84
0.95,25,2.48,21.32,102.42
0.9,25,2.48,21.32,101.89
0.8,25,2.48,21.32,100.16
0.7,25,2.48,21.32,98.03
0.6,25,2.48,21.32,95.095
0.5,25,2.48,21.32,92.205
0.4,25,2.48,21.32,89.385
0.3,25,2.48,21.32,85.216
0.2,25,2.48,21.32,70.987
0.15,25,2.48,21.32,53.803
0.1,25,2.48,21.32,36.483
0.05,25,2.48,21.32,24.729
0.02,25,2.48,21.32,17.186
0.01,25,2.48,21.32,13.662
1,10,2.48,21.32,93.688
0.95,10,2.48,21.32,93.552
0.9,10,2.48,21.32,93.166
0.8,10,2.48,21.32,91.806
0.7,10,2.48,21.32,89.562
0.6,10,2.48,21.32,86.634
0.5,10,2.48,21.32,83.576
0.4,10,2.48,21.32,79.289
0.3,10,2.48,21.32,61.96
0.2,10,2.48,21.32,35.42
0.15,10,2.48,21.32,23.351
0.1,10,2.48,21.32,16.36
0.05,10,2.48,21.32,10.795
0.02,10,2.48,21.32,7.348
0.01,10,2.48,21.32,5.6525
1,25,2.42,22.58,93.688
0.95,25,2.42,22.58,93.552
0.9,25,2.42,22.58,93.166
0.8,25,2.42,22.58,91.806
0.7,25,2.42,22.58,89.562
0.6,25,2.42,22.58,86.634
0.5,25,2.42,22.58,83.576
0.4,25,2.42,22.58,79.289
0.3,25,2.42,22.58,61.96
0.2,25,2.42,22.58,35.42
0.15,25,2.42,22.58,23.351
0.1,25,2.42,22.58,16.36
0.05,25,2.42,22.58,10.795
0.02,25,2.42,22.58,7.348
0.01,25,2.42,22.58,5.6525
1,10,2.42,22.58,92.072
0.95,10,2.42,22.58,92.031
0.9,10,2.42,22.58,91.654
0.8,10,2.42,22.58,90.258
0.7,10,2.42,22.58,87.615
0.6,10,2.42,22.58,84.653
0.5,10,2.42,22.58,81.347
0.4,10,2.42,22.58,76.254
0.3,10,2.42,22.58,50.646
0.2,10,2.42,22.58,28.306
0.15,10,2.42,22.58,19.552
0.1,10,2.42,22.58,13.474
0.05,10,2.42,22.58,7.8025
1,25,2.42,23.97,100.22
0.95,25,2.42,23.97,99.855
0.9,25,2.42,23.97,99.4
0.8,25,2.42,23.97,97.587
0.7,25,2.42,23.97,95.092
0.6,25,2.42,23.97,91.952
0.5,25,2.42,23.97,88.939
0.4,25,2.42,23.97,85.525
0.3,25,2.42,23.97,79.769
0.2,25,2.42,23.97,53.374
0.15,25,2.42,23.97,38.257
0.1,25,2.42,23.97,26.899
0.05,25,2.42,23.97,17.391
0.02,25,2.42,23.97,10.012
0.01,25,2.42,23.97,5.9672
1,10,2.42,23.97,90.613
0.95,10,2.42,23.97,90.53
0.9,10,2.42,23.97,90.111
0.8,10,2.42,23.97,88.539
0.7,10,2.42,23.97,85.813
0.6,10,2.42,23.97,82.553
0.5,10,2.42,23.97,78.963
0.4,10,2.42,23.97,64.029
0.3,10,2.42,23.97,42.288
0.2,10,2.42,23.97,23.877
0.15,10,2.42,23.97,16.636
0.1,10,2.42,23.97,11.838
0.05,10,2.42,23.97,6.9211
1,25,2.38,25.61,98.41
0.95,25,2.38,25.61,98.143
0.9,25,2.38,25.61,97.751
0.8,25,2.38,25.61,95.949
0.7,25,2.38,25.61,93.378
0.6,25,2.38,25.61,90.351
0.5,25,2.38,25.61,87.419
0.4,25,2.38,25.61,84.009
0.3,25,2.38,25.61,78.2
0.2,25,2.38,25.61,53.245
0.15,25,2.38,25.61,39.625
0.1,25,2.38,25.61,28.735
0.05,25,2.38,25.61,20.304
0.02,25,2.38,25.61,14.047
0.01,25,2.38,25.61,11.033
1,10,2.38,25.61,88.671
0.95,10,2.38,25.61,88.677
0.9,10,2.38,25.61,88.282
0.8,10,2.38,25.61,86.659
0.7,10,2.38,25.61,83.953
0.6,10,2.38,25.61,80.956
0.5,10,2.38,25.61,76.904
0.4,10,2.38,25.61,59.253
0.3,10,2.38,25.61,40.374
0.2,10,2.38,25.61,24.312
0.15,10,2.38,25.61,17.534
0.1,10,2.38,25.61,13.006
0.05,10,2.38,25.61,9.1529
0.02,10,2.38,25.61,5.9801
0.01,10,2.38,25.61,4.6223
1,25,2.36,27.18,96.97
0.95,25,2.36,27.18,96.754
0.9,25,2.36,27.18,96.384
0.8,25,2.36,27.18,94.5
0.7,25,2.36,27.18,91.766
0.6,25,2.36,27.18,88.7
0.5,25,2.36,27.18,85.736
0.4,25,2.36,27.18,82.151
0.3,25,2.36,27.18,75.611
0.2,25,2.36,27.18,49.198
0.15,25,2.36,27.18,37.009
0.1,25,2.36,27.18,27.312
0.05,25,2.36,27.18,19.262
0.02,25,2.36,27.18,13.101
0.01,25,2.36,27.18,10.144
1,10,2.36,27.18,86.919
0.95,10,2.36,27.18,87
0.9,10,2.36,27.18,86.604
0.8,10,2.36,27.18,84.927
0.7,10,2.36,27.18,82.128
0.6,10,2.36,27.18,79.028
0.5,10,2.36,27.18,70.364
0.4,10,2.36,27.18,52.794
0.3,10,2.36,27.18,36.238
0.2,10,2.36,27.18,23.137
0.15,10,2.36,27.18,16.328
0.1,10,2.36,27.18,12.269
0.05,10,2.36,27.18,8.6047
0.02,10,2.36,27.18,5.5136
1,25,2.33,28.63,95.422
0.95,25,2.33,28.63,95.287
0.9,25,2.33,28.63,94.954
0.8,25,2.33,28.63,92.977
0.7,25,2.33,28.63,90.144
0.6,25,2.33,28.63,87.118
0.5,25,2.33,28.63,84.167
0.4,25,2.33,28.63,80.484
0.3,25,2.33,28.63,69.546
0.2,25,2.33,28.63,45.076
